"(x, y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(1, 80)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 81)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 82)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 83)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 84)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 85)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 86)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 87)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 88)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 89)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 90)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 91)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 92)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 93)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 94)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 95)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 96)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 97)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 98)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 99)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 100)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 101)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 102)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 103)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 104)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 105)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 106)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 107)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 108)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 109)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(1, 110)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 111)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 112)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 113)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 114)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 115)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 116)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 117)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 118)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 119)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 120)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 121)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 122)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 123)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 124)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 125)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 126)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 127)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 128)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 129)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 130)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 131)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 132)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 133)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 134)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 135)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 136)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 137)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 138)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 139)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 140)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 141)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 142)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(1, 143)",2019,04,YISHUN,391,145,Apartment,1988,3103
"(1, 144)",2019,04,YISHUN,391,145,Apartment,1988,3103
"(1, 145)",2019,04,YISHUN,391,145,Apartment,1988,3103
"(1, 146)",2019,04,CHOA CHU KANG,553,146,Apartment,1996,3116
"(1, 147)",2019,04,CHOA CHU KANG,272,147,Apartment,1993,3129
"(1, 148)",2019,04,YISHUN,665,181,Apartment,1992,4188
"(1, 149)",2019,04,YISHUN,665,181,Apartment,1992,4188
"(1, 150)",2019,04,YISHUN,665,181,Apartment,1992,4188
"(2, 80)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 81)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 82)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 83)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 84)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 85)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 86)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 87)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 88)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 89)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 90)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 91)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 92)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 93)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 94)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 95)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 96)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 97)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 98)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 99)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 100)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 101)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 102)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 103)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 104)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 105)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 106)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 107)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 108)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 109)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(2, 110)",2019,05,CHOA CHU KANG,683A,111,Improved,2002,2766
"(2, 111)",2019,05,CHOA CHU KANG,683A,111,Improved,2002,2766
"(2, 112)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 113)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 114)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 115)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 116)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 117)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 118)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 119)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 120)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 121)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 122)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 123)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 124)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 125)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 126)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 127)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 128)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 129)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 130)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 131)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 132)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 133)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 134)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 135)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 136)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 137)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 138)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 139)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 140)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 141)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 142)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(2, 143)",2019,05,CHOA CHU KANG,274,146,Apartment,1993,2877
"(2, 144)",2019,05,CHOA CHU KANG,274,146,Apartment,1993,2877
"(2, 145)",2019,05,CHOA CHU KANG,274,146,Apartment,1993,2877
"(2, 146)",2019,05,CHOA CHU KANG,274,146,Apartment,1993,2877
"(2, 147)",2019,04,CHOA CHU KANG,272,147,Apartment,1993,3129
"(2, 148)",2019,05,CHOA CHU KANG,755,151,Apartment,1995,3543
"(2, 149)",2019,05,CHOA CHU KANG,755,151,Apartment,1995,3543
"(2, 150)",2019,05,CHOA CHU KANG,755,151,Apartment,1995,3543
"(3, 80)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 81)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 82)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 83)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 84)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 85)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 86)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 87)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 88)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 89)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 90)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 91)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 92)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 93)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 94)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 95)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 96)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 97)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 98)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 99)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 100)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 101)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 102)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 103)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 104)",2019,06,YISHUN,816,104,Model A,1988,2308
"(3, 105)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(3, 106)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(3, 107)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(3, 108)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(3, 109)",2019,04,CHOA CHU KANG,295,109,Model A,1990,2505
"(3, 110)",2019,06,YISHUN,330,125,Improved,1995,2720
"(3, 111)",2019,06,YISHUN,330,125,Improved,1995,2720
"(3, 112)",2019,06,YISHUN,330,125,Improved,1995,2720
"(3, 113)",2019,06,YISHUN,330,125,Improved,1995,2720
"(3, 114)",2019,06,YISHUN,330,125,Improved,1995,2720
"(3, 115)",2019,06,YISHUN,330,125,Improved,1995,2720
"(3, 116)",2019,06,YISHUN,330,125,Improved,1995,2720
"(3, 117)",2019,06,YISHUN,330,125,Improved,1995,2720
"(3, 118)",2019,06,YISHUN,330,125,Improved,1995,2720
"(3, 119)",2019,06,YISHUN,330,125,Improved,1995,2720
"(3, 120)",2019,06,YISHUN,330,125,Improved,1995,2720
"(3, 121)",2019,06,YISHUN,330,125,Improved,1995,2720
"(3, 122)",2019,06,YISHUN,330,125,Improved,1995,2720
"(3, 123)",2019,06,YISHUN,330,125,Improved,1995,2720
"(3, 124)",2019,06,YISHUN,330,125,Improved,1995,2720
"(3, 125)",2019,06,YISHUN,330,125,Improved,1995,2720
"(3, 126)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(3, 127)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(3, 128)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(3, 129)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(3, 130)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(3, 131)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(3, 132)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(3, 133)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(3, 134)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(3, 135)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(3, 136)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(3, 137)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(3, 138)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(3, 139)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(3, 140)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(3, 141)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(3, 142)",2019,04,CHOA CHU KANG,525,142,Apartment,1995,2817
"(3, 143)",2019,05,CHOA CHU KANG,274,146,Apartment,1993,2877
"(3, 144)",2019,05,CHOA CHU KANG,274,146,Apartment,1993,2877
"(3, 145)",2019,05,CHOA CHU KANG,274,146,Apartment,1993,2877
"(3, 146)",2019,05,CHOA CHU KANG,274,146,Apartment,1993,2877
"(3, 147)",2019,04,CHOA CHU KANG,272,147,Apartment,1993,3129
"(3, 148)",2019,06,CHOA CHU KANG,528,149,Apartment,1995,3141
"(3, 149)",2019,06,CHOA CHU KANG,528,149,Apartment,1995,3141
"(3, 150)",2019,06,CHOA CHU KANG,107,154,Maisonette,1989,3474
"(4, 80)",2019,06,YISHUN,816,104,Model A,1988,2308
"(4, 81)",2019,06,YISHUN,816,104,Model A,1988,2308
"(4, 82)",2019,06,YISHUN,816,104,Model A,1988,2308
"(4, 83)",2019,06,YISHUN,816,104,Model A,1988,2308
"(4, 84)",2019,06,YISHUN,816,104,Model A,1988,2308
"(4, 85)",2019,06,YISHUN,816,104,Model A,1988,2308
"(4, 86)",2019,06,YISHUN,816,104,Model A,1988,2308
"(4, 87)",2019,06,YISHUN,816,104,Model A,1988,2308
"(4, 88)",2019,06,YISHUN,816,104,Model A,1988,2308
"(4, 89)",2019,06,YISHUN,816,104,Model A,1988,2308
"(4, 90)",2019,06,YISHUN,816,104,Model A,1988,2308
"(4, 91)",2019,06,YISHUN,816,104,Model A,1988,2308
"(4, 92)",2019,06,YISHUN,816,104,Model A,1988,2308
"(4, 93)",2019,06,YISHUN,816,104,Model A,1988,2308
"(4, 94)",2019,06,YISHUN,816,104,Model A,1988,2308
"(4, 95)",2019,06,YISHUN,816,104,Model A,1988,2308
"(4, 96)",2019,06,YISHUN,816,104,Model A,1988,2308
"(4, 97)",2019,06,YISHUN,816,104,Model A,1988,2308
