"(x, y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(1, 80)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 81)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 82)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 83)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 84)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 85)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 86)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 87)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 88)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 89)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 90)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 91)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 92)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 93)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 94)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 95)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 96)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 97)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 98)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 99)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 100)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 101)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 102)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 103)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 104)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 105)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 106)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 107)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 108)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 109)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 110)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 111)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 112)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 113)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 114)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 115)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 116)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 117)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 118)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 119)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 120)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 121)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 122)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 123)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 124)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 125)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 126)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 127)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 128)",2015,02,JURONG WEST,845,128.0,Improved,1996,3203
"(1, 129)",2015,02,JURONG WEST,754,150.0,Apartment,1995,3467
"(1, 130)",2015,02,JURONG WEST,754,150.0,Apartment,1995,3467
"(1, 131)",2015,02,JURONG WEST,754,150.0,Apartment,1995,3467
"(1, 132)",2015,02,JURONG WEST,754,150.0,Apartment,1995,3467
"(1, 133)",2015,02,JURONG WEST,754,150.0,Apartment,1995,3467
"(1, 134)",2015,02,JURONG WEST,754,150.0,Apartment,1995,3467
"(1, 135)",2015,02,JURONG WEST,754,150.0,Apartment,1995,3467
"(1, 136)",2015,02,JURONG WEST,754,150.0,Apartment,1995,3467
